"SubjectNo" "Room" "Group" "CuriosityRating" "RoomOrder" "ItemFAR" "ItemAccuracy" "ContextAccuracy" "HitRate" "SeenHit" "CorrSeenHit"
"P06" "Library" "Novel" 3 "First" 0 1 0.5 1 1 1
"P06" "StorageRoom" "Novel" 6 "First" 0 0.833333333333333 0.333333333333333 0.833333333333333 0.666666666666667 0.666666666666667
"P07" "Bedroom" "Familiar" 5 "First" 0.0416666666666667 0.791666666666667 0.666666666666667 0.833333333333333 0.666666666666667 0.666666666666667
"P07" "Classroom" "Familiar" 5 "First" 0.0416666666666667 0.958333333333333 0.5 1 0.833333333333333 0.833333333333333
"P07" "Gym" "Familiar" 6 "First" 0.0416666666666667 0.958333333333333 0.5 1 1 1
"P07" "Library" "Novel" 6 "Second" 0.0416666666666667 0.791666666666667 0.166666666666667 0.833333333333333 0.833333333333333 0.833333333333333
"P07" "StorageRoom" "Novel" 6 "Second" 0.0416666666666667 0.791666666666667 0.333333333333333 0.833333333333333 0.833333333333333 0.833333333333333
"P08" "Bedroom" "Familiar" 6 "Second" 0 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667
"P08" "Classroom" "Familiar" 3 "First" 0 0.833333333333333 0.5 0.833333333333333 0.833333333333333 0.833333333333333
"P08" "Gym" "Familiar" 1 "First" 0 1 0.833333333333333 1 1 1
"P08" "LivingRoom" "Novel" 6 "Second" 0 0.833333333333333 0.333333333333333 0.833333333333333 0.833333333333333 0.833333333333333
"P08" "Library" "Novel" 5 "First" 0 0.666666666666667 0.5 0.666666666666667 0.666666666666667 0.666666666666667
"P08" "StorageRoom" "Novel" 3 "Second" 0 0.833333333333333 0.5 0.833333333333333 0.833333333333333 0.833333333333333
"P09" "Bedroom" "Familiar" 3 "First" 0.222222222222222 0.611111111111111 0.5 0.833333333333333 0.833333333333333 0.833333333333333
"P09" "Classroom" "Familiar" 3 "Second" 0.222222222222222 0.611111111111111 0.166666666666667 0.833333333333333 0.333333333333333 0.333333333333333
"P09" "Gym" "Familiar" 3 "Second" 0.222222222222222 0.777777777777778 0.5 1 0.833333333333333 0.833333333333333
"P09" "LivingRoom" "Novel" 5 "First" 0.222222222222222 0.444444444444444 0.333333333333333 0.666666666666667 0.5 0.5
"P09" "Library" "Novel" 5 "Second" 0.222222222222222 0.777777777777778 0.833333333333333 1 1 1
"P09" "StorageRoom" "Novel" 5 "First" 0.222222222222222 0.777777777777778 0.333333333333333 1 0.833333333333333 0.833333333333333
"P10" "Bedroom" "Familiar" 1 "First" 0 0.833333333333333 0.833333333333333 0.833333333333333 0.833333333333333 0.833333333333333
"P10" "Classroom" "Familiar" 1 "First" 0 1 0.5 1 0.833333333333333 0.833333333333333
"P10" "Gym" "Familiar" 3 "First" 0 1 0.666666666666667 1 1 1
"P10" "LivingRoom" "Novel" 6 "Second" 0 1 0.833333333333333 1 0.666666666666667 0.666666666666667
"P10" "Library" "Novel" 5 "Second" 0 1 0.666666666666667 1 0.833333333333333 0.833333333333333
"P10" "StorageRoom" "Novel" 7 "Second" 0 1 0.833333333333333 1 0.833333333333333 0.833333333333333
"P11" "Bedroom" "Familiar" 4 "Second" 0.55 0.45 0.166666666666667 1 1 1
"P11" "Classroom" "Familiar" 5 "Second" 0.55 0.0499999999999999 0.4 0.6 0.6 0.6
"P11" "Gym" "Familiar" 7 "First" 0.55 0.283333333333333 0.333333333333333 0.833333333333333 0.833333333333333 0.833333333333333
"P11" "LivingRoom" "Novel" 6 "First" 0.55 0.0499999999999999 0.2 0.6 0.6 0.6
"P11" "Library" "Novel" 4 "First" 0.55 0.45 0.5 1 1 1
"P11" "StorageRoom" "Novel" 4 "Second" 0.55 0.283333333333333 0.166666666666667 0.833333333333333 0.833333333333333 0.833333333333333
"P12" "Bedroom" "Familiar" 1 "Second" 0.166666666666667 0.833333333333333 0.666666666666667 1 0.833333333333333 0.833333333333333
"P12" "Classroom" "Familiar" 1 "Second" 0.166666666666667 0.666666666666667 0.333333333333333 0.833333333333333 0.666666666666667 0.666666666666667
"P12" "Gym" "Familiar" 1 "First" 0.166666666666667 0.666666666666667 0.666666666666667 0.833333333333333 0.666666666666667 0.666666666666667
"P12" "LivingRoom" "Novel" 7 "First" 0.166666666666667 0.333333333333333 0.5 0.5 0.5 0.5
"P12" "Library" "Novel" 7 "First" 0.166666666666667 0.833333333333333 0.666666666666667 1 0.666666666666667 0.666666666666667
"P12" "StorageRoom" "Novel" 7 "Second" 0.166666666666667 0.666666666666667 0.5 0.833333333333333 0.666666666666667 0.666666666666667
"P25" "Bedroom" "Novel" 7 "First" 0 0.833333333333333 0.333333333333333 0.833333333333333 0.666666666666667 0.666666666666667
"P25" "Classroom" "Novel" 6 "First" 0 1 0.666666666666667 1 0.833333333333333 0.833333333333333
"P25" "Gym" "Novel" 5 "Second" 0 0.833333333333333 0.666666666666667 0.833333333333333 0.833333333333333 0.833333333333333
"P25" "LivingRoom" "Familiar" 3 "Second" 0 1 0.666666666666667 1 1 1
"P25" "Library" "Familiar" 2 "First" 0 0.833333333333333 0.5 0.833333333333333 0.5 0.5
"P25" "StorageRoom" "Familiar" 1 "Second" 0 0.833333333333333 0.833333333333333 0.833333333333333 0.833333333333333 0.833333333333333
