"SubjectNo","Group","MeanCurRt","MeanDur","SFHit","SHit","SrcHit","SFFalse","SFalse","SrcFalse","SFAcc","SAcc","SrcAcc"
"P09","Familiar",3,NA,0.944444444444444,0.666666666666667,0.388888888888889,0.5,0.0555555555555556,0.0185185185185185,0.444444444444444,0.611111111111111,0.37037037037037
"P09","Novel",5,NA,0.777777777777778,0.444444444444444,0.222222222222222,0.5,0.0555555555555556,0.0185185185185185,0.277777777777778,0.388888888888889,0.203703703703704
"P10","Familiar",1.66666666666667,NA,0.833333333333333,0.444444444444444,0.222222222222222,0.5,0.111111111111111,0.166666666666667,0.333333333333333,0.333333333333333,0.0555555555555556
"P10","Novel",6,NA,0.555555555555556,0.388888888888889,0.166666666666667,0.5,0.111111111111111,0.166666666666667,0.0555555555555556,0.277777777777778,0
"P11","Familiar",5.33333333333333,NA,0.555555555555556,0.555555555555556,0.277777777777778,0.555555555555556,0.5,0.185185185185185,0,0.0555555555555556,0.0925925925925926
"P11","Novel",4.66666666666667,NA,0.611111111111111,0.444444444444444,0.111111111111111,0.555555555555556,0.5,0.185185185185185,0.0555555555555556,-0.0555555555555556,-0.0740740740740741
"P12","Familiar",1,NA,0.777777777777778,0.666666666666667,0.333333333333333,0.166666666666667,0.0555555555555556,0.0555555555555556,0.611111111111111,0.611111111111111,0.277777777777778
"P12","Novel",7,NA,0.888888888888889,0.5,0.5,0.166666666666667,0.0555555555555556,0.0555555555555556,0.722222222222222,0.444444444444444,0.444444444444444
"P25","Familiar",2,NA,0.333333333333333,0.333333333333333,0.166666666666667,0.0555555555555556,0,0.0185185185185185,0.277777777777778,0.333333333333333,0.148148148148148
"P25","Novel",6,NA,0.388888888888889,0.222222222222222,0.166666666666667,0.0555555555555556,0,0.0185185185185185,0.333333333333333,0.222222222222222,0.148148148148148
"P61","Familiar",4,24.3304337033333,0.388888888888889,0.277777777777778,0.222222222222222,0,0,0,0.388888888888889,0.277777777777778,0.222222222222222
"P61","Novel",6,25.2006029533333,0.666666666666667,0.388888888888889,0.333333333333333,0,0,0,0.666666666666667,0.388888888888889,0.333333333333333
"P62","Familiar",3,25.28233736,0.388888888888889,0.222222222222222,0.166666666666667,0.444444444444444,0.0555555555555556,0.148148148148148,-0.0555555555555555,0.166666666666667,0.0185185185185185
"P62","Novel",6,29.09068385,0.333333333333333,0.166666666666667,0.166666666666667,0.444444444444444,0.0555555555555556,0.148148148148148,-0.111111111111111,0.111111111111111,0.0185185185185185
"P63","Familiar",2,25.18901062,0.5,0.277777777777778,0.111111111111111,0.222222222222222,0,0.0740740740740741,0.277777777777778,0.277777777777778,0.037037037037037
"P63","Novel",6,27.7700974533333,0.555555555555556,0.277777777777778,0.277777777777778,0.222222222222222,0,0.0740740740740741,0.333333333333333,0.277777777777778,0.203703703703704
"P64","Familiar",2,24.58990658,0.888888888888889,0.555555555555556,0.388888888888889,0.277777777777778,0.111111111111111,0.0925925925925926,0.611111111111111,0.444444444444444,0.296296296296296
"P64","Novel",5.33333333333333,25.1768229966667,0.888888888888889,0.888888888888889,0.5,0.277777777777778,0.111111111111111,0.0925925925925926,0.611111111111111,0.777777777777778,0.407407407407407
"P65","Familiar",2.66666666666667,30.1348573266667,0.0555555555555556,0.0555555555555556,0,0,0,0,0.0555555555555556,0.0555555555555556,0
"P65","Novel",6,30.96581219,0,0,0,0,0,0,0,0,0
"P66","Familiar",1.66666666666667,17.7957357566667,0.444444444444444,0.111111111111111,0.111111111111111,0.5,0.0555555555555556,0.148148148148148,-0.0555555555555556,0.0555555555555556,-0.037037037037037
"P66","Novel",6,20.5374830766667,0.5,0.222222222222222,0.0555555555555556,0.5,0.0555555555555556,0.148148148148148,0,0.166666666666667,-0.0925925925925926
