"SubjectNo","Context","Group","CurRating","RoomOrder","Duration","SFHit","SHit","SrcHit","SFFalse","SFalse","SrcFalse","SFAcc","SAcc","SrcAcc"
"P61","Library","Familiar",4,"First",25.7179736,0.666666666666667,0.5,0.333333333333333,0,0,0,0.666666666666667,0.5,0.333333333333333
"P61","LivingRoom","Familiar",5,"Second",23.45244354,0.333333333333333,0.333333333333333,0.166666666666667,0,0,0,0.333333333333333,0.333333333333333,0.166666666666667
"P61","StorageRoom","Familiar",3,"Second",23.82088397,0.166666666666667,0,0.166666666666667,0,0,0,0.166666666666667,0,0.166666666666667
"P62","Bedroom","Novel",7,"Second",30.57033789,0.333333333333333,0.166666666666667,0.333333333333333,0.444444444444444,0.0555555555555556,0.148148148148148,-0.111111111111111,0.111111111111111,0.185185185185185
"P62","Classroom","Novel",5,"Second",26.51927521,0.166666666666667,0,0,0.444444444444444,0.0555555555555556,0.148148148148148,-0.277777777777778,-0.0555555555555556,-0.148148148148148
"P62","Gym","Novel",6,"Second",30.18243845,0.5,0.333333333333333,0.166666666666667,0.444444444444444,0.0555555555555556,0.148148148148148,0.0555555555555556,0.277777777777778,0.0185185185185185
"P62","Library","Familiar",4,"First",23.52451774,0.333333333333333,0,0,0.444444444444444,0.0555555555555556,0.148148148148148,-0.111111111111111,-0.0555555555555556,-0.148148148148148
"P62","LivingRoom","Familiar",3,"First",24.53721516,0.166666666666667,0.166666666666667,0,0.444444444444444,0.0555555555555556,0.148148148148148,-0.277777777777778,0.111111111111111,-0.148148148148148
"P62","StorageRoom","Familiar",2,"First",27.78527918,0.666666666666667,0.5,0.5,0.444444444444444,0.0555555555555556,0.148148148148148,0.222222222222222,0.444444444444444,0.351851851851852
"P63","Bedroom","Novel",5,"First",31.71473534,0.5,0.333333333333333,0.333333333333333,0.222222222222222,0,0.0740740740740741,0.277777777777778,0.333333333333333,0.259259259259259
"P63","Classroom","Novel",6,"Second",26.42629762,0.333333333333333,0.166666666666667,0.333333333333333,0.222222222222222,0,0.0740740740740741,0.111111111111111,0.166666666666667,0.259259259259259
"P63","Gym","Novel",7,"First",25.1692594,0.833333333333333,0.333333333333333,0.166666666666667,0.222222222222222,0,0.0740740740740741,0.611111111111111,0.333333333333333,0.0925925925925926
"P63","Library","Familiar",2,"Second",24.99128785,0.666666666666667,0.166666666666667,0,0.222222222222222,0,0.0740740740740741,0.444444444444444,0.166666666666667,-0.0740740740740741
"P63","LivingRoom","Familiar",3,"First",24.63774567,0.333333333333333,0.333333333333333,0,0.222222222222222,0,0.0740740740740741,0.111111111111111,0.333333333333333,-0.0740740740740741
"P63","StorageRoom","Familiar",1,"Second",25.93799834,0.5,0.333333333333333,0.333333333333333,0.222222222222222,0,0.0740740740740741,0.277777777777778,0.333333333333333,0.259259259259259
"P64","Bedroom","Novel",5,"Second",24.73361885,0.833333333333333,0.833333333333333,0.5,0.277777777777778,0.111111111111111,0.0925925925925926,0.555555555555556,0.722222222222222,0.407407407407407
"P64","Classroom","Novel",4,"Second",22.85679227,1,1,0.166666666666667,0.277777777777778,0.111111111111111,0.0925925925925926,0.722222222222222,0.888888888888889,0.0740740740740741
"P64","Gym","Novel",7,"First",27.94005787,0.833333333333333,0.833333333333333,0.833333333333333,0.277777777777778,0.111111111111111,0.0925925925925926,0.555555555555556,0.722222222222222,0.740740740740741
"P64","Library","Familiar",1,"First",23.96544126,1,0.666666666666667,0.166666666666667,0.277777777777778,0.111111111111111,0.0925925925925926,0.722222222222222,0.555555555555556,0.0740740740740741
"P64","LivingRoom","Familiar",3,"Second",24.02972894,0.833333333333333,0.5,0.5,0.277777777777778,0.111111111111111,0.0925925925925926,0.555555555555556,0.388888888888889,0.407407407407407
"P64","StorageRoom","Familiar",2,"First",25.77454954,0.833333333333333,0.5,0.5,0.277777777777778,0.111111111111111,0.0925925925925926,0.555555555555556,0.388888888888889,0.407407407407407
"P65","Bedroom","Novel",6,"First",31.75293146,0,0,0,0,0,0,0,0,0
"P65","Classroom","Novel",5,"First",31.75125028,0,0,0,0,0,0,0,0,0
"P65","Gym","Novel",7,"First",29.39325483,0,0,0,0,0,0,0,0,0
"P65","Library","Familiar",4,"Second",30.67184925,0.166666666666667,0.166666666666667,0,0,0,0,0.166666666666667,0.166666666666667,0
"P65","LivingRoom","Familiar",3,"Second",28.60295767,0,0,0,0,0,0,0,0,0
"P65","StorageRoom","Familiar",1,"Second",31.12976506,0,0,0,0,0,0,0,0,0
"P66","Bedroom","Novel",5,"First",14.86722802,0.333333333333333,0,0,0.5,0.0555555555555556,0.148148148148148,-0.166666666666667,-0.0555555555555556,-0.148148148148148
"P66","Classroom","Novel",7,"First",15.86175618,0.5,0.333333333333333,0,0.5,0.0555555555555556,0.148148148148148,0,0.277777777777778,-0.148148148148148
"P66","Gym","Novel",6,"First",30.88346503,0.666666666666667,0.333333333333333,0.166666666666667,0.5,0.0555555555555556,0.148148148148148,0.166666666666667,0.277777777777778,0.0185185185185185
"P66","Library","Familiar",2,"Second",14.59909102,0.166666666666667,0,0,0.5,0.0555555555555556,0.148148148148148,-0.333333333333333,-0.0555555555555556,-0.148148148148148
"P66","LivingRoom","Familiar",2,"Second",24.91779015,0.833333333333333,0.333333333333333,0.166666666666667,0.5,0.0555555555555556,0.148148148148148,0.333333333333333,0.277777777777778,0.0185185185185185
"P66","StorageRoom","Familiar",1,"Second",13.8703261,0.333333333333333,0,0.166666666666667,0.5,0.0555555555555556,0.148148148148148,-0.166666666666667,-0.0555555555555556,0.0185185185185185
"P67","Bedroom","Novel",6,"First",22.99903833,0.5,0.5,0,0.444444444444444,0.166666666666667,0.111111111111111,0.0555555555555556,0.333333333333333,-0.111111111111111
"P67","Classroom","Novel",5,"First",21.39732653,0.833333333333333,0.5,0.166666666666667,0.444444444444444,0.166666666666667,0.111111111111111,0.388888888888889,0.333333333333333,0.0555555555555556
"P67","Gym","Novel",5,"First",24.28890165,1,0.833333333333333,0.333333333333333,0.444444444444444,0.166666666666667,0.111111111111111,0.555555555555556,0.666666666666667,0.222222222222222
"P67","Library","Familiar",2,"Second",21.19616335,0.666666666666667,0.5,0.166666666666667,0.444444444444444,0.166666666666667,0.111111111111111,0.222222222222222,0.333333333333333,0.0555555555555556
"P67","LivingRoom","Familiar",3,"Second",20.65949752,0.833333333333333,0.666666666666667,0.5,0.444444444444444,0.166666666666667,0.111111111111111,0.388888888888889,0.5,0.388888888888889
"P67","StorageRoom","Familiar",1,"Second",22.85742342,0.666666666666667,0.666666666666667,0.166666666666667,0.444444444444444,0.166666666666667,0.111111111111111,0.222222222222222,0.5,0.0555555555555556
"P68","Bedroom","Novel",7,"First",28.5496429,0.833333333333333,0.666666666666667,0.666666666666667,0.111111111111111,0,0.037037037037037,0.722222222222222,0.666666666666667,0.62962962962963
"P68","Classroom","Novel",7,"First",28.0888582,0.833333333333333,0.166666666666667,0.333333333333333,0.111111111111111,0,0.037037037037037,0.722222222222222,0.166666666666667,0.296296296296296
"P68","Gym","Novel",6,"Second",28.37999897,1,0.666666666666667,0,0.111111111111111,0,0.037037037037037,0.888888888888889,0.666666666666667,-0.037037037037037
"P68","Library","Familiar",2,"Second",32.01328615,0.5,0.333333333333333,0,0.111111111111111,0,0.037037037037037,0.388888888888889,0.333333333333333,-0.037037037037037
"P68","LivingRoom","Familiar",3,"First",27.42996325,0.666666666666667,0.666666666666667,0.333333333333333,0.111111111111111,0,0.037037037037037,0.555555555555556,0.666666666666667,0.296296296296296
"P68","StorageRoom","Familiar",4,"Second",28.84096877,0.666666666666667,0.166666666666667,0.333333333333333,0.111111111111111,0,0.037037037037037,0.555555555555556,0.166666666666667,0.296296296296296
"P69","Bedroom","Novel",4,"Second",35.71913116,1,0.833333333333333,0.666666666666667,0.111111111111111,0,0,0.888888888888889,0.833333333333333,0.666666666666667
"P69","Classroom","Novel",3,"First",31.79495134,0.666666666666667,0.666666666666667,0.166666666666667,0.111111111111111,0,0,0.555555555555556,0.666666666666667,0.166666666666667
"P69","Gym","Novel",7,"Second",30.24545087,0.333333333333333,0.333333333333333,0.333333333333333,0.111111111111111,0,0,0.222222222222222,0.333333333333333,0.333333333333333
"P69","Library","Familiar",1,"First",22.31199093,1,0.666666666666667,0.333333333333333,0.111111111111111,0,0,0.888888888888889,0.666666666666667,0.333333333333333
"P69","LivingRoom","Familiar",2,"First",22.83141195,0.666666666666667,0.333333333333333,0,0.111111111111111,0,0,0.555555555555556,0.333333333333333,0
"P69","StorageRoom","Familiar",1,"Second",23.55116781,0.666666666666667,0.5,0.166666666666667,0.111111111111111,0,0,0.555555555555556,0.5,0.166666666666667
"P70","Bedroom","Novel",7,"First",30.61600951,0.5,0,0,0.333333333333333,0,0.111111111111111,0.166666666666667,0,-0.111111111111111
"P70","Classroom","Novel",6,"First",26.04421735,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.111111111111111,0,0.333333333333333,-0.111111111111111
"P70","Gym","Novel",5,"Second",30.23730627,0.666666666666667,0.5,0.5,0.333333333333333,0,0.111111111111111,0.333333333333333,0.5,0.388888888888889
"P70","Library","Familiar",3,"Second",27.97587074,0.833333333333333,0.666666666666667,0.166666666666667,0.333333333333333,0,0.111111111111111,0.5,0.666666666666667,0.0555555555555556
"P70","LivingRoom","Familiar",4,"Second",26.11715403,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0,0.111111111111111,0,0.333333333333333,0.0555555555555556
