"Room","Object","ObjPos_X","ObjPos_Y","ObjPos_Z","SubjectNo"
"Gym","Pumpkin",-5.801942,0.3,12.03032,"P34"
"Gym","MosquitoRacket",0.4357105,0.3,3.914097,"P34"
"Library","Basket",-3.578784,0.3,5.561949,"P34"
"Library","Laptop",7.371568,0.3,6.237306,"P34"
"Library","Matrioshka",3.731247,0.3,15.62935,"P34"
"Library","Hammer",3.351116,3,14.10861,"P34"
"Library","Microphone",2.258896,0.3,6.994349,"P34"
"Library","PaperCoffeeCup",-5.469674,0.3,1.764144,"P34"
"LivingRoom","ShowerHead",4.299279,1.3,16.26198,"P34"
"LivingRoom","FireExtinguisher",-7.142493,0.3,14.3653,"P34"
"LivingRoom","CokeCan",-4.996188,0.3,9.326764,"P34"
"LivingRoom","TennisBall",6.142368,0.3,6.47391,"P34"
"LivingRoom","Jug",-6.366593,0.3,4.895966,"P34"
"LivingRoom","StrawberryDonut",1.049,0.3,10.88121,"P34"
"StorageRoom","HTCVive",4.148983,0.3,12.87389,"P34"
"StorageRoom","Canister",2.542965,0.3,7.491131,"P34"
"StorageRoom","NailScissors",-1.721701,0.3,15.0208,"P34"
"StorageRoom","CoffeeMachine",-4.614719,0.3,9.198127,"P34"
"StorageRoom","Bread",-1.640362,0.3,2.622521,"P34"
"StorageRoom","DeskLight",7.146643,0.3,1.232088,"P34"
"Bedroom","Pinza",-2.366552,0.3,6.690216,"P35"
"Bedroom","Pumpkin",-7.3348,1,7.862102,"P35"
"Bedroom","NailScissors",1.880385,4,14.58011,"P35"
"Bedroom","MobilePhone",-6.905867,0.3,16.0908,"P35"
"Bedroom","Glasses",5.891155,1,10.43023,"P35"
"Bedroom","StrawberryDonut",0.5284256,0.3,2.181126,"P35"
"Classroom","OldRadio",-7.137801,0.3,3.044458,"P35"
"Classroom","Router",4.430202,3,9.018734,"P35"
"Classroom","CoffeeMachine",-3.184643,1,12.63925,"P35"
"Classroom","TennisBall",-3.280548,1.3,8.227657,"P35"
"Classroom","Toothpaste",0.8669073,0.3,15.7937,"P35"
"Classroom","Matrioshka",4.885062,5,8.783044,"P35"
"Gym","Basket",-4.491166,0.3,13.88387,"P35"
"Gym","Hammer",0.869347,2,2.140859,"P35"
"Gym","FirstAidKit",-7.270973,0.3,1.833545,"P35"
"Gym","Official hat",7.447276,0.3,8.305246,"P35"
"Gym","Canister",4.252649,5,7.931518,"P35"
"Gym","Bread",15.24071,5,5.5686,"P35"
"Library","Laptop",-7.334682,0.3,13.81324,"P35"
"Library","FireExtinguisher",3.868922,0.3,15.48577,"P35"
"Library","Clamps",7.186617,0.3,8.44894,"P35"
"Library","WineBottle",-0.6478983,2,5.110732,"P35"
"Library","RockingHorse",-6.434135,4,5.650415,"P35"
"Library","UGGboot",-1.829666,2,1.569836,"P35"
"LivingRoom","CokeCan",7.515616,2,16.12675,"P35"
"LivingRoom","PaperCoffeeCup",-4.631845,1,3.768757,"P35"
"LivingRoom","HTCVive",-2.886391,0.3,8.745689,"P35"
"LivingRoom","ShowerHead",-1.044836,5,14.74261,"P35"
"LivingRoom","BallonDog",-7.764491,0.3,8.115369,"P35"
"LivingRoom","Jug",1.332393,1,1.244867,"P35"
"StorageRoom","Chaynik",3.237236,1.3,16.11506,"P35"
"StorageRoom","MosquitoRacket",-4.743254,4,0.8895473,"P35"
"StorageRoom","CinRoll",1.290763,0.3,7.920548,"P35"
"StorageRoom","DeskLight",4.03251,0.3,12.4675,"P35"
"StorageRoom","Recorder",-0.548982,2,16.33542,"P35"
"StorageRoom","Microphone",-2.169298,0.3,1.149837,"P35"
"Bedroom","SaltSub",2.919288,0.3,15.0235,"P36"
"Bedroom","MokeExpress",-2.104911,0.3,9.551461,"P36"
"Bedroom","Grape",0.594835,0.3,2.047213,"P36"
"Bedroom","NikonCamera",4.598488,0.3,9.437571,"P36"
"Bedroom","Mushroom",-7.18854,2,2.586908,"P36"
"Bedroom","Spoons",-7.626921,0.3,16.73239,"P36"
"Classroom","Muffin",-4.57581,0.3,13.8817,"P36"
"Classroom","BaseballBat",14.74609,5,11.91415,"P36"
"Classroom","Kettle",-3.420843,0.3,8.255152,"P36"
"Classroom","Padella",5.953841,0.3,2.132463,"P36"
"Classroom","PencilSharpener",-3.775475,0.3,14.87476,"P36"
"Classroom","Mouse",-6.056153,0.3,2.416894,"P36"
"Gym","EggBeater",-7.595795,0.3,8.474306,"P36"
"Gym","PiggyBank",0.4504704,0.3,9.100699,"P36"
"Gym","Headphones",-4.481287,0.3,7.67811,"P36"
"Gym","MilkCarton",-5.496831,0.3,2.761597,"P36"
"Gym","HTCViveController",-6.212699,0.3,14.87212,"P36"
"Gym","Typewriter",-0.3226096,2,2.469119,"P36"
"Library","Calculator",-7.282415,0.3,14.74219,"P36"
"Library","Toaster",-3.80214,0.3,11.33315,"P36"
"Library","Controller",1.560238,0.3,3.744277,"P36"
"Library","JBLSpeaker",4.183006,0.3,8.74709,"P36"
"Library","Openner",-7.25243,0.3,6.191999,"P36"
"Library","RugbyBall",2.464302,2,15.36065,"P36"
"LivingRoom","Pineapple",-7.139173,0.3,0.5318532,"P36"
"LivingRoom","Cabbaage",7.237415,0.3,12.75325,"P36"
"LivingRoom","Stapler",-3.890362,0.3,10.39417,"P36"
"LivingRoom","CleaningBucket",-4.64027,0.3,14.70482,"P36"
"LivingRoom","Avocado",-1.067091,0.3,16.23589,"P36"
"LivingRoom","Apple",5.161494,0.3,7.338346,"P36"
"StorageRoom","OfficeBin",-4.076735,0.3,14.89405,"P36"
"StorageRoom","MechanicalGloves",-4.186643,2,0.9608068,"P36"
"StorageRoom","Teacup",2.733321,2,15.82496,"P36"
"StorageRoom","Paprika",4.959816,0.3,8.178231,"P36"
"StorageRoom","Squeezer",5.717378,0.3,13.22612,"P36"
"StorageRoom","HandDrill",-5.373123,0.3,11.1855,"P36"
"Bedroom","RockingHorse",-6.51905,0.3,15.32893,"P37"
"Bedroom","UGGboot",-2.407393,0.3,10.90683,"P37"
"Bedroom","Pumpkin",6.172471,0.3,3.639597,"P37"
"Bedroom","Recorder",-6.690114,2,7.867485,"P37"
"Bedroom","Toothpaste",3.802941,0.3,1.080552,"P37"
"Bedroom","Clamps",1.573914,3,14.74563,"P37"
"Classroom","StrawberryDonut",4.71138,2,9.069935,"P37"
"Classroom","Laptop",-3.149207,0.3,13.6546,"P37"
"Classroom","Canister",-5.588659,0.3,1.950136,"P37"
"Classroom","OldRadio",-7.059037,0.3,7.624678,"P37"
