"Object" "Context" "ObjectResponse" "ContextResponse" "ChoiceNo" "SubjectNo" "Group" "CorrObjResp" "Accuracy" "SeenHit" "FalseSeenHit" "ContextAccuracy" "ObjectType" "ItemOrder" "CuriosityRating" "ItemOrderType" "CuriosityRatingType"
"Teacup" "Library" "New" "None" 3 "P14" "Novel" "Seen" 0 0 0 0 "Old" 6 7 "Late" "High"
"EggBeater" "LivingRoom" "Familiar" "Gym" 2 "P14" "Novel" "Seen" 1 0 0 0 "Old" 3 7 "Early" "High"
"HTCViveController" "LivingRoom" "Seen" "LivingRoom" 3 "P14" "Novel" "Seen" 1 1 0 1 "Old" 5 7 "Late" "High"
"MechanicalGloves" "LivingRoom" "Familiar" "Bedroom" 2 "P14" "Novel" "Seen" 1 0 0 0 "Old" 1 7 "Early" "High"
"Muffin" "LivingRoom" "Familiar" "LivingRoom" 1 "P14" "Novel" "Seen" 1 0 0 1 "Old" 4 7 "Late" "High"
"OfficeBin" "LivingRoom" "New" "None" 3 "P14" "Novel" "Seen" 0 0 0 0 "Old" 2 7 "Early" "High"
"PiggyBank" "LivingRoom" "Seen" "Bedroom" 4 "P14" "Novel" "Seen" 1 1 0 0 "Old" 6 7 "Late" "High"
"Cabbaage" "StorageRoom" "Seen" "Bedroom" 4 "P14" "Novel" "Seen" 1 1 0 0 "Old" 1 6 "Early" "High"
"CleaningBucket" "StorageRoom" "New" "None" 3 "P14" "Novel" "Seen" 0 0 0 0 "Old" 5 6 "Late" "High"
"Openner" "StorageRoom" "Familiar" "StorageRoom" 2 "P14" "Novel" "Seen" 1 0 0 1 "Old" 4 6 "Late" "High"
"Paprika" "StorageRoom" "Seen" "Gym" 3 "P14" "Novel" "Seen" 1 1 0 0 "Old" 2 6 "Early" "High"
"SaltSub" "StorageRoom" "Seen" "Bedroom" 2 "P14" "Novel" "Seen" 1 1 0 0 "Old" 6 6 "Late" "High"
"Toaster" "StorageRoom" "Familiar" "StorageRoom" 1 "P14" "Novel" "Seen" 1 0 0 1 "Old" 3 6 "Early" "High"
"BallonDog" "Bedroom" "Seen" "Library" 1 "P15" "Familiar" "Seen" 1 1 0 0 "Old" 2 4 "Early" "Low"
"Laptop" "Bedroom" "Seen" "Library" 2 "P15" "Familiar" "Seen" 1 1 0 0 "Old" 1 4 "Early" "Low"
"OldRadio" "Bedroom" "New" "None" 2 "P15" "Familiar" "Seen" 0 0 0 0 "Old" 5 4 "Late" "Low"
"Pinza" "Bedroom" "Seen" "Classroom" 1 "P15" "Familiar" "Seen" 1 1 0 0 "Old" 4 4 "Late" "Low"
"ShowerHead" "Bedroom" "New" "None" 3 "P15" "Familiar" "Seen" 0 0 0 0 "Old" 6 4 "Late" "Low"
"StrawberryDonut" "Bedroom" "Seen" "Gym" 1 "P15" "Familiar" "Seen" 1 1 0 0 "Old" 3 4 "Early" "Low"
"Basket" "Classroom" "Familiar" "Library" 3 "P15" "Familiar" "Seen" 1 0 0 0 "Old" 5 1 "Late" "Low"
"FirstAidKit" "Classroom" "New" "None" 3 "P15" "Familiar" "Seen" 0 0 0 0 "Old" 3 1 "Early" "Low"
"Hammer" "Classroom" "Seen" "Classroom" 4 "P15" "Familiar" "Seen" 1 1 0 1 "Old" 6 1 "Late" "Low"
"Microphone" "Classroom" "Familiar" "Classroom" 4 "P15" "Familiar" "Seen" 1 0 0 1 "Old" 1 1 "Early" "Low"
"Pumpkin" "Classroom" "Seen" "Gym" 1 "P15" "Familiar" "Seen" 1 1 0 0 "Old" 4 1 "Late" "Low"
"WineBottle" "Classroom" "New" "None" 3 "P15" "Familiar" "Seen" 0 0 0 0 "Old" 2 1 "Early" "Low"
"Chaynik" "Gym" "Seen" "Bedroom" 4 "P15" "Familiar" "Seen" 1 1 0 0 "Old" 3 4 "Early" "Low"
"CokeCan" "Gym" "Seen" "Gym" 3 "P15" "Familiar" "Seen" 1 1 0 1 "Old" 5 4 "Late" "Low"
"FireExtinguisher" "Gym" "Familiar" "Classroom" 3 "P15" "Familiar" "Seen" 1 0 0 0 "Old" 2 4 "Early" "Low"
"MobilePhone" "Gym" "Familiar" "LivingRoom" 2 "P15" "Familiar" "Seen" 1 0 0 0 "Old" 6 4 "Late" "Low"
"Official hat" "Gym" "New" "None" 1 "P15" "Familiar" "Seen" 0 0 0 0 "Old" 4 4 "Late" "Low"
"Recorder" "Gym" "Familiar" "Bedroom" 3 "P15" "Familiar" "Seen" 1 0 0 0 "Old" 1 4 "Early" "Low"
"Canister" "Library" "Seen" "Library" 1 "P15" "Novel" "Seen" 1 1 0 1 "Old" 3 7 "Early" "High"
"Clamps" "Library" "Seen" "Bedroom" 2 "P15" "Novel" "Seen" 1 1 0 0 "Old" 4 7 "Late" "High"
"CoffeeMachine" "Library" "Seen" "Library" 4 "P15" "Novel" "Seen" 1 1 0 1 "Old" 1 7 "Early" "High"
"Glasses" "Library" "Familiar" "Gym" 1 "P15" "Novel" "Seen" 1 0 0 0 "Old" 2 7 "Early" "High"
"Router" "Library" "Familiar" "LivingRoom" 2 "P15" "Novel" "Seen" 1 0 0 0 "Old" 5 7 "Late" "High"
"Toothpaste" "Library" "Seen" "Library" 2 "P15" "Novel" "Seen" 1 1 0 1 "Old" 6 7 "Late" "High"
"Matrioshka" "LivingRoom" "Familiar" "StorageRoom" 4 "P15" "Novel" "Seen" 1 0 0 0 "Old" 4 6 "Late" "High"
"MosquitoRacket" "LivingRoom" "Seen" "LivingRoom" 4 "P15" "Novel" "Seen" 1 1 0 1 "Old" 2 6 "Early" "High"
"PaperCoffeeCup" "LivingRoom" "New" "None" 4 "P15" "Novel" "Seen" 0 0 0 0 "Old" 6 6 "Late" "High"
"RockingHorse" "LivingRoom" "Seen" "Bedroom" 2 "P15" "Novel" "Seen" 1 1 0 0 "Old" 5 6 "Late" "High"
"TennisBall" "LivingRoom" "Seen" "Bedroom" 1 "P15" "Novel" "Seen" 1 1 0 0 "Old" 1 6 "Early" "High"
"UGGboot" "LivingRoom" "New" "None" 4 "P15" "Novel" "Seen" 0 0 0 0 "Old" 3 6 "Early" "High"
"Bread" "StorageRoom" "Seen" "StorageRoom" 1 "P15" "Novel" "Seen" 1 1 0 1 "Old" 2 5 "Early" "High"
"CinRoll" "StorageRoom" "Seen" "StorageRoom" 3 "P15" "Novel" "Seen" 1 1 0 1 "Old" 1 5 "Early" "High"
"DeskLight" "StorageRoom" "Familiar" "StorageRoom" 3 "P15" "Novel" "Seen" 1 0 0 1 "Old" 5 5 "Late" "High"
"HTCVive" "StorageRoom" "New" "None" 3 "P15" "Novel" "Seen" 0 0 0 0 "Old" 6 5 "Late" "High"
"Jug" "StorageRoom" "Familiar" "StorageRoom" 4 "P15" "Novel" "Seen" 1 0 0 1 "Old" 4 5 "Late" "High"
"NailScissors" "StorageRoom" "Seen" "LivingRoom" 3 "P15" "Novel" "Seen" 1 1 0 0 "Old" 3 5 "Early" "High"
"Cabbaage" "Bedroom" "New" "None" 3 "P16" "Familiar" "Seen" 0 0 0 0 "Old" 4 4 "Late" "Low"
"MechanicalGloves" "Bedroom" "Seen" "Gym" 3 "P16" "Familiar" "Seen" 1 1 0 0 "Old" 1 4 "Early" "Low"
"Mouse" "Bedroom" "New" "None" 1 "P16" "Familiar" "Seen" 0 0 0 0 "Old" 6 4 "Late" "Low"
"OfficeBin" "Bedroom" "New" "None" 3 "P16" "Familiar" "Seen" 0 0 0 0 "Old" 2 4 "Early" "Low"
"Openner" "Bedroom" "Familiar" "Classroom" 3 "P16" "Familiar" "Seen" 1 0 0 0 "Old" 5 4 "Late" "Low"
