"SubjectNo","Context","Group","CurRating","RoomOrder","Duration","SFHit","SHit","SrcHit","SFFalse","SFalse","SrcFalse","SFAcc","SAcc","SrcAcc"
"P15","Library","Novel",7,"Second",NA,1,0.666666666666667,0.5,0.0555555555555556,0,0.0185185185185185,0.944444444444444,0.666666666666667,0.481481481481482
"P15","LivingRoom","Novel",6,"First",NA,0.666666666666667,0.5,0.166666666666667,0.0555555555555556,0,0.0185185185185185,0.611111111111111,0.5,0.148148148148148
"P15","StorageRoom","Novel",5,"First",NA,0.833333333333333,0.5,0.666666666666667,0.0555555555555556,0,0.0185185185185185,0.777777777777778,0.5,0.648148148148148
"P16","Bedroom","Familiar",4,"First",NA,0.5,0.166666666666667,0,0.0555555555555556,0,0.0185185185185185,0.444444444444444,0.166666666666667,-0.0185185185185185
"P16","Classroom","Familiar",2,"First",NA,0.166666666666667,0.166666666666667,0,0.0555555555555556,0,0.0185185185185185,0.111111111111111,0.166666666666667,-0.0185185185185185
"P16","Gym","Familiar",5,"Second",NA,0.5,0.333333333333333,0,0.0555555555555556,0,0.0185185185185185,0.444444444444444,0.333333333333333,-0.0185185185185185
"P16","Library","Novel",7,"First",NA,0.5,0.5,0.333333333333333,0.0555555555555556,0,0.0185185185185185,0.444444444444444,0.5,0.314814814814815
"P16","LivingRoom","Novel",7,"Second",NA,0.5,0.166666666666667,0.333333333333333,0.0555555555555556,0,0.0185185185185185,0.444444444444444,0.166666666666667,0.314814814814815
"P16","StorageRoom","Novel",7,"Second",NA,0.5,0,0.166666666666667,0.0555555555555556,0,0.0185185185185185,0.444444444444444,0,0.148148148148148
"P17","Bedroom","Familiar",3,"First",NA,0.333333333333333,0,0.166666666666667,0.222222222222222,0,0.0740740740740741,0.111111111111111,0,0.0925925925925926
"P17","Classroom","Familiar",4,"Second",NA,0.166666666666667,0,0,0.222222222222222,0,0.0740740740740741,-0.0555555555555556,0,-0.0740740740740741
"P17","Gym","Familiar",4,"First",NA,0.666666666666667,0,0.166666666666667,0.222222222222222,0,0.0740740740740741,0.444444444444444,0,0.0925925925925926
"P17","Library","Novel",5,"First",NA,0.166666666666667,0,0,0.222222222222222,0,0.0740740740740741,-0.0555555555555556,0,-0.0740740740740741
"P17","LivingRoom","Novel",4,"Second",NA,0.5,0,0.166666666666667,0.222222222222222,0,0.0740740740740741,0.277777777777778,0,0.0925925925925926
"P17","StorageRoom","Novel",4,"Second",NA,0.5,0,0.333333333333333,0.222222222222222,0,0.0740740740740741,0.277777777777778,0,0.259259259259259
"P18","Bedroom","Familiar",2,"Second",NA,0.833333333333333,0.666666666666667,0.166666666666667,0.5,0,0.166666666666667,0.333333333333333,0.666666666666667,0
"P18","Classroom","Familiar",5,"Second",NA,0.833333333333333,0.166666666666667,0.166666666666667,0.5,0,0.166666666666667,0.333333333333333,0.166666666666667,0
"P18","Gym","Familiar",3,"First",NA,1,0.833333333333333,0.5,0.5,0,0.166666666666667,0.5,0.833333333333333,0.333333333333333
"P18","Library","Novel",6,"Second",NA,0.666666666666667,0.166666666666667,0.5,0.5,0,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333
"P18","LivingRoom","Novel",7,"First",NA,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667
"P18","StorageRoom","Novel",4,"First",NA,0.833333333333333,0.333333333333333,0.5,0.5,0,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333
